date,nav,div
2017-05-26,11215,0
2017-05-29,11160,0
2017-05-30,11124,0
2017-05-31,11106,0
2017-06-01,11116,0
2017-06-02,11254,0
2017-06-05,11192,0
2017-06-06,11144,0
2017-06-07,11043,0
2017-06-08,11091,0
2017-06-09,11079,0
2017-06-12,11114,0
2017-06-13,11061,0
2017-06-14,11127,0
2017-06-15,11079,0
2017-06-16,11166,0
2017-06-19,11193,0
2017-06-20,11348,0
2017-06-21,11224,0
2017-06-22,11190,0
2017-06-23,11218,0
2017-06-26,11229,0
2017-06-27,11309,0
2017-06-28,11280,0
2017-06-29,11396,0
2017-06-30,11278,0
2017-07-03,11286,0
2017-07-04,11421,0
2017-07-05,11396,0
2017-07-06,11399,0
2017-07-07,11352,0
2017-07-10,11483,0
2017-07-11,11509,0
2017-07-12,11458,0
2017-07-13,11506,0
2017-07-14,11560,0
2017-07-18,11512,0
2017-07-19,11462,0
2017-07-20,11516,0
2017-07-21,11550,0
2017-07-24,11405,0
2017-07-25,11428,0
2017-07-26,11528,0
2017-07-27,11467,0
2017-07-28,11459,0
2017-07-31,11362,0
2017-08-01,11363,0
2017-08-02,11416,0
2017-08-03,11449,0
2017-08-04,11366,0
2017-08-07,11451,0
2017-08-08,11473,0
2017-08-09,11366,0
2017-08-10,11362,0
2017-08-14,11133,0
2017-08-15,11311,0
2017-08-16,11350,0
2017-08-17,11328,0
2017-08-18,11132,0
2017-08-21,11091,0
2017-08-22,11081,0
2017-08-23,11224,0
2017-08-24,11146,0
2017-08-25,11203,0
2017-08-28,11172,0
2017-08-29,11140,0
2017-08-30,11228,0
2017-08-31,11316,0
2017-09-01,11374,0
2017-09-04,11367,0
2017-09-05,11333,0
2017-09-06,11179,0
2017-09-07,11260,0
2017-09-08,11220,0
2017-09-11,11211,0
2017-09-12,11424,0
2017-09-13,11538,0
2017-09-14,11572,0
2017-09-15,11532,0
2017-09-19,11702,0
2017-09-20,11737,0
2017-09-21,11813,0
2017-09-22,11776,0
2017-09-25,11818,0
2017-09-26,11678,0
2017-09-27,11744,0
2017-09-28,11837,0
2017-09-29,11840,0
2017-10-02,11891,0
2017-10-03,11942,0
2017-10-04,11939,0
2017-10-05,11957,0
2017-10-06,12003,0
2017-10-10,11976,0
2017-10-11,11969,0
2017-10-12,12015,0
2017-10-13,11988,0
2017-10-16,11973,0
2017-10-17,11991,0
2017-10-18,11989,0
2017-10-19,12100,0
2017-10-20,12067,0
2017-10-23,12210,0
2017-10-24,12126,0
2017-10-25,12180,0
2017-10-26,12097,0
2017-10-27,12156,0
2017-10-30,12187,0
2017-10-31,12112,0
2017-11-01,12204,0
2017-11-02,12250,0
2017-11-06,12303,0
2017-11-07,12258,0
2017-11-08,12240,0
2017-11-09,12284,0
2017-11-10,12173,0
2017-11-13,12175,0
2017-11-14,12174,0
2017-11-15,12142,0
2017-11-16,12036,0
2017-11-17,12115,0
2017-11-20,12002,0
2017-11-21,12075,0
2017-11-22,12120,0
2017-11-24,12040,0
2017-11-27,12096,0
2017-11-28,12002,0
2017-11-29,12156,0
2017-11-30,12192,0
2017-12-01,12307,0
2017-12-04,12298,0
2017-12-05,12280,0
2017-12-06,12227,0
2017-12-07,12210,0
2017-12-08,12323,0
2017-12-11,12433,0
2017-12-12,12455,0
2017-12-13,12466,0
2017-12-14,12417,0
2017-12-15,12312,0
2017-12-18,12407,0
2017-12-19,12487,0
2017-12-20,12502,0
2017-12-21,12509,0
2017-12-22,12571,0
2017-12-25,12540,0
2017-12-26,12562,0
2017-12-27,12558,0
2017-12-28,12590,0
2017-12-29,12568,0
2018-01-04,12651,0
2018-01-05,12753,0
2018-01-09,12874,0
2018-01-10,12809,0
2018-01-11,12678,0
2018-01-12,12731,0
2018-01-15,12796,0
2018-01-16,12811,0
2018-01-17,12735,0
2018-01-18,12892,0
2018-01-19,12872,0
2018-01-22,12889,0
2018-01-23,13004,0
2018-01-24,12957,0
2018-01-25,12878,0
2018-01-26,12891,0
2018-01-29,12894,0
2018-01-30,12850,0
2018-01-31,12707,0
2018-02-01,12758,0
2018-02-02,12782,0
2018-02-05,12579,0
2018-02-06,12060,0
2018-02-07,12141,0
2018-02-08,12129,0
2018-02-09,11713,0
2018-02-13,11919,0
2018-02-14,11846,0
2018-02-15,11911,0
2018-02-16,11986,0
2018-02-19,12003,0
2018-02-20,12034,0
2018-02-21,12068,0
2018-02-22,12010,0
2018-02-23,11971,0
2018-02-26,12094,0
2018-02-27,12211,0
2018-02-28,12132,0
2018-03-01,11922,0
2018-03-02,11753,0
2018-03-05,11662,0
2018-03-06,11851,0
2018-03-07,11836,0
2018-03-08,11894,0
2018-03-09,12013,0
2018-03-12,12197,0
2018-03-13,12143,0
2018-03-14,12108,0
2018-03-15,11982,0
2018-03-16,11993,0
2018-03-19,11968,0
2018-03-20,11857,0
2018-03-22,11828,0
2018-03-23,11491,0
2018-03-26,11309,0
2018-03-27,11571,0
2018-03-28,11455,0
2018-03-29,11563,0
2018-03-30,11614,0
2018-04-02,11627,0
2018-04-03,11398,0
2018-04-04,11551,0
2018-04-05,11659,0
2018-04-06,11824,0
2018-04-09,11614,0
2018-04-10,11652,0
2018-04-11,11864,0
2018-04-12,11791,0
2018-04-13,11916,0
2018-04-16,11908,0
2018-04-17,11927,0
2018-04-18,12046,0
2018-04-19,12104,0
2018-04-20,12045,0
2018-04-23,12001,0
2018-04-24,12094,0
2018-04-25,12013,0
2018-04-26,12049,0
2018-04-27,12133,0
2018-05-01,12098,0
2018-05-02,12149,0
2018-05-07,12088,0
2018-05-08,12129,0
2018-05-09,12157,0
2018-05-10,12329,0
2018-05-11,12381,0
2018-05-14,12398,0
2018-05-15,12456,0
2018-05-16,12437,0
2018-05-17,12475,0
2018-05-18,12556,0
2018-05-21,12530,0
2018-05-22,12610,0
2018-05-23,12575,0
2018-05-24,12405,0
2018-05-25,12361,0
2018-05-28,12324,0
2018-05-29,12267,0
2018-05-30,12014,0
2018-05-31,12192,0
2018-06-01,12155,0
2018-06-04,12352,0
2018-06-05,12440,0
2018-06-06,12435,0
2018-06-07,12568,0
2018-06-08,12530,0
2018-06-11,12487,0
2018-06-12,12622,0
2018-06-13,12646,0
2018-06-14,12605,0
2018-06-15,12638,0
2018-06-18,12594,0
2018-06-19,12516,0
2018-06-20,12426,0
2018-06-21,12497,0
2018-06-22,12381,0
2018-06-25,12405,0
2018-06-26,12214,0
2018-06-27,12259,0
2018-06-28,12197,0
2018-06-29,12287,0
2018-07-02,12389,0
