date,nav,div
2020-07-02,12814,0
2020-07-03,12882,0
2020-07-06,12895,0
2020-07-07,13057,0
2020-07-08,12962,0
2020-07-09,13018,0
2020-07-10,12925,0
2020-07-13,13025,0
2020-07-14,12956,0
2020-07-15,13133,0
2020-07-16,13215,0
2020-07-17,13205,0
2020-07-20,13273,0
2020-07-21,13351,0
2020-07-22,13329,0
2020-07-27,13027,0
2020-07-28,13065,0
2020-07-29,12956,0
2020-07-30,13110,0
2020-07-31,13003,0
2020-08-03,13294,0
2020-08-04,13390,0
2020-08-05,13372,0
2020-08-06,13445,0
2020-08-07,13544,0
2020-08-11,13667,0
2020-08-12,13608,0
2020-08-13,13817,0
2020-08-14,13828,0
2020-08-17,13770,0
2020-08-18,13715,0
2020-08-19,13665,0
2020-08-20,13724,0
2020-08-21,13716,0
2020-08-24,13778,0
2020-08-25,13945,0
2020-08-26,14053,0
2020-08-27,14127,0
2020-08-28,14249,0
2020-08-31,14170,0
2020-09-01,14210,0
2020-09-02,14337,0
2020-09-03,14587,0
2020-09-04,14068,0
2020-09-07,13978,0
2020-09-08,13972,0
2020-09-09,13545,0
2020-09-10,13847,0
2020-09-11,13596,0
2020-09-14,13606,0
2020-09-15,13727,0
2020-09-16,13753,0
2020-09-17,13649,0
2020-09-18,13506,0
2020-09-23,13373,0
2020-09-24,13098,0
2020-09-25,13150,0
2020-09-28,13336,0
2020-09-29,13550,0
2020-09-30,13542,0
2020-10-01,13620,0
2020-10-02,13697,0
2020-10-05,13569,0
2020-10-06,13822,0
2020-10-07,13633,0
2020-10-08,13920,0
2020-10-09,14025,0
2020-10-12,14106,0
2020-10-13,14297,0
2020-10-14,14215,0
2020-10-15,14100,0
2020-10-16,14093,0
2020-10-19,14097,0
2020-10-20,13895,0
2020-10-21,13935,0
2020-10-22,13804,0
2020-10-23,13886,0
2020-10-26,13932,0
2020-10-27,13688,0
2020-10-28,13600,0
2020-10-29,13117,0
2020-10-30,13295,0
2020-11-02,13158,0
2020-11-04,13528,0
2020-11-05,13791,0
2020-11-06,13983,0
2020-11-09,13933,0
2020-11-10,14353,0
2020-11-11,14327,0
2020-11-12,14472,0
2020-11-13,14273,0
2020-11-16,14426,0
2020-11-17,14567,0
2020-11-18,14444,0
2020-11-19,14247,0
2020-11-20,14306,0
2020-11-24,14387,0
2020-11-25,14606,0
2020-11-26,14563,0
2020-11-27,14536,0
2020-11-30,14536,0
2020-12-01,14523,0
2020-12-02,14698,0
2020-12-03,14747,0
2020-12-04,14646,0
2020-12-07,14812,0
2020-12-08,14785,0
2020-12-09,14835,0
2020-12-10,14733,0
2020-12-11,14679,0
2020-12-14,14664,0
2020-12-15,14612,0
2020-12-16,14748,0
2020-12-17,14732,0
2020-12-18,14790,0
2020-12-21,14764,0
2020-12-22,14697,0
2020-12-23,14712,0
2020-12-24,14721,0
2020-12-25,14752,0
2020-12-28,14772,0
2020-12-29,14929,0
2020-12-30,14851,0
2021-01-04,14907,0
2021-01-05,14698,0
2021-01-06,14735,0
2021-01-07,14864,0
2021-01-08,15214,0
2021-01-12,15254,0
2021-01-13,15179,0
2021-01-14,15254,0
2021-01-15,15182,0
2021-01-18,15071,0
2021-01-19,15058,0
2021-01-20,15208,0
2021-01-21,15373,0
2021-01-22,15368,0
2021-01-25,15367,0
2021-01-26,15412,0
2021-01-27,15376,0
2021-01-28,15069,0
2021-01-29,15245,0
2021-02-01,14981,0
2021-02-02,15251,0
2021-02-03,15481,0
2021-02-04,15497,0
2021-02-05,15745,0
2021-02-08,15808,0
2021-02-09,15870,0
2021-02-10,15771,0
2021-02-12,15813,0
2021-02-15,15945,0
2021-02-16,16001,0
2021-02-17,16096,0
2021-02-18,16029,0
2021-02-19,15955,0
2021-02-22,15893,0
2021-02-24,15777,0
2021-02-25,16053,0
2021-02-26,15691,0
2021-03-01,15652,0
2021-03-02,16082,0
2021-03-03,15940,0
2021-03-04,15763,0
2021-03-05,15687,0
2021-03-08,16061,0
2021-03-09,16087,0
2021-03-10,16233,0
2021-03-11,16324,0
2021-03-12,16507,0
2021-03-15,16597,0
2021-03-16,16733,0
2021-03-17,16691,0
2021-03-18,16714,0
2021-03-19,16488,0
2021-03-22,16446,0
2021-03-23,16554,0
2021-03-24,16396,0
2021-03-25,16343,0
2021-03-26,16493,0
2021-03-29,16816,0
2021-03-30,16837,0
2021-03-31,16915,0
2021-04-01,16998,0
2021-04-02,17170,0
2021-04-05,17167,0
2021-04-06,17361,0
2021-04-07,17272,0
2021-04-08,17298,0
2021-04-09,17293,0
2021-04-12,17496,0
2021-04-13,17466,0
2021-04-14,17407,0
2021-04-15,17347,0
2021-04-16,17509,0
2021-04-19,17561,0
2021-04-20,17395,0
2021-04-21,17257,0
2021-04-22,17413,0
2021-04-23,17236,0
2021-04-26,17416,0
2021-04-27,17491,0
2021-04-28,17612,0
2021-04-30,17717,0
2021-05-06,17597,0
2021-05-07,17713,0
2021-05-10,17784,0
2021-05-11,17635,0
2021-05-12,17451,0
2021-05-13,17209,0
2021-05-14,17420,0
2021-05-17,17652,0
2021-05-18,17571,0
2021-05-19,17387,0
2021-05-20,17378,0
2021-05-21,17507,0
2021-05-24,17507,0
2021-05-25,17661,0
2021-05-26,17607,0
2021-05-27,17706,0
2021-05-28,17858,0
2021-05-31,17842,0
2021-06-01,17785,0
2021-06-02,17815,0
2021-06-03,17832,0
2021-06-04,17881,0
2021-06-07,17923,0
2021-06-08,17889,0
2021-06-09,17894,0
2021-06-10,17894,0
2021-06-11,17946,0
2021-06-14,18038,0
2021-06-15,18125,0
2021-06-16,18096,0
2021-06-17,18102,0
2021-06-18,18019,0
2021-06-21,17769,0
2021-06-22,18023,0
2021-06-23,18191,0
2021-06-24,18224,0
2021-06-25,18320,0
2021-06-28,18331,0
2021-06-29,18345,0
2021-06-30,18362,0
2021-07-01,18469,0
2021-07-02,18663,0
2021-07-05,18721,0
2021-07-06,18673,0
2021-07-07,18566,0
2021-07-08,18650,0
2021-07-09,18383,0
2021-07-12,18631,0
2021-07-13,18735,0
2021-07-14,18714,0
2021-07-15,18613,0
2021-07-16,18549,0
2021-07-19,18404,0
2021-07-20,18062,0
2021-07-21,18404,0
2021-07-26,18878,0
2021-07-27,18874,0
2021-07-28,18719,0
2021-07-29,18692,0
2021-07-30,18732,0
2021-08-02,18659,0
2021-08-03,18570,0
2021-08-04,18678,0
2021-08-05,18691,0
2021-08-06,18844,0
2021-08-10,18941,0
2021-08-11,19017,0
2021-08-12,19009,0
2021-08-13,19083,0
2021-08-16,18952,0
2021-08-17,18953,0
2021-08-18,18877,0
2021-08-19,18751,0
2021-08-20,18759,0
2021-08-23,18905,0
2021-08-24,19053,0
2021-08-25,19098,0
2021-08-26,19177,0
2021-08-27,19053,0
2021-08-30,19175,0
2021-08-31,19287,0
2021-09-01,19314,0
2021-09-02,19287,0
2021-09-03,19335,0
2021-09-06,19309,0
2021-09-07,19300,0
2021-09-08,19321,0
2021-09-09,19290,0
2021-09-10,19123,0
2021-09-13,19011,0
2021-09-14,19066,0
2021-09-15,18893,0
2021-09-16,19011,0
2021-09-17,19050,0
2021-09-21,18513,0
2021-09-22,18440,0
2021-09-24,19047,0
2021-09-27,19133,0
2021-09-28,19130,0
2021-09-29,18844,0
2021-09-30,18922,0
2021-10-01,18615,0
2021-10-04,18754,0
2021-10-05,18498,0
2021-10-06,18816,0
2021-10-07,18854,0
2021-10-08,19071,0
2021-10-11,19132,0
2021-10-12,19202,0
2021-10-13,19154,0
2021-10-14,19196,0
2021-10-15,19611,0
2021-10-18,19823,0
2021-10-19,19878,0
2021-10-20,20109,0
2021-10-21,20113,0
2021-10-22,20129,0
2021-10-25,20053,0
2021-10-26,20167,0
2021-10-27,20254,0
2021-10-28,20110,0
2021-10-29,20272,0
2021-11-01,20388,0
2021-11-02,20429,0
2021-11-04,20642,0
2021-11-05,20666,0
2021-11-08,20714,0
2021-11-09,20669,0
2021-11-10,20523,0
2021-11-11,20557,0
2021-11-12,20620,0
2021-11-15,20725,0
2021-11-16,20764,0
2021-11-17,20966,0
2021-11-18,20789,0
2021-11-19,20894,0
2021-11-22,20816,0
2021-11-24,20987,0
2021-11-25,21059,0
2021-11-26,20986,0
2021-11-29,20303,0
2021-11-30,20570,0
2021-12-01,20091,0
2021-12-02,19806,0
2021-12-03,20115,0
2021-12-06,19940,0
2021-12-07,20250,0
2021-12-08,20683,0
2021-12-09,20790,0
2021-12-10,20582,0
2021-12-13,20794,0
2021-12-14,20626,0
2021-12-15,20499,0
2021-12-16,20906,0
2021-12-17,20661,0
2021-12-20,20405,0
2021-12-21,20181,0
2021-12-22,20634,0
2021-12-23,20854,0
2021-12-24,21034,0
2021-12-27,21019,0
2021-12-28,21409,0
2021-12-29,21377,0
2021-12-30,21430,0
2022-01-04,21526,0
2022-01-05,21657,0
2022-01-06,21209,0
2022-01-07,21178,0
2022-01-11,20948,0
2022-01-12,21139,0
2022-01-13,21072,0
2022-01-14,20677,0
2022-01-17,20734,0
2022-01-18,20775,0
2022-01-19,20423,0
2022-01-20,20152,0
2022-01-21,19848,0
2022-01-24,19475,0
2022-01-25,19556,0
2022-01-26,19290,0
2022-01-27,19395,0
2022-01-28,19430,0
2022-01-31,19901,0
2022-02-01,20226,0
2022-02-02,20285,0
2022-02-03,20431,0
2022-02-04,20033,0
2022-02-07,20182,0
2022-02-08,20114,0
2022-02-09,20328,0
2022-02-10,20634,0
2022-02-14,19847,0
2022-02-15,19770,0
2022-02-16,20134,0
2022-02-17,20116,0
2022-02-18,19602,0
2022-02-21,19482,0
2022-02-22,19436,0
2022-02-24,18910,0
2022-02-25,19299,0
2022-02-28,19728,0
2022-03-01,19636,0
2022-03-02,19288,0
2022-03-03,19752,0
2022-03-04,19616,0
2022-03-07,19392,0
2022-03-08,18897,0
2022-03-09,18825,0
2022-03-10,19334,0
2022-03-11,19303,0
2022-03-14,19265,0
2022-03-15,19230,0
2022-03-16,19668,0
2022-03-17,20209,0
2022-03-18,20407,0
2022-03-22,20868,0
2022-03-23,21301,0
2022-03-24,21025,0
2022-03-25,21504,0
2022-03-28,21643,0
2022-03-29,22151,0
2022-03-30,22108,0
2022-03-31,21955,0
2022-04-01,21580,0
2022-04-04,21691,0
2022-04-05,21892,0
2022-04-06,21856,0
2022-04-07,21601,0
2022-04-08,21720,0
2022-04-11,21808,0
2022-04-12,21599,0
2022-04-13,21536,0
2022-04-14,21774,0
2022-04-15,21644,0
2022-04-18,21697,0
2022-04-19,21810,0
2022-04-20,22520,0
2022-04-21,22306,0
2022-04-22,22043,0
2022-04-25,21456,0
2022-04-26,21377,0
2022-04-27,20784,0
2022-04-28,21025,0
2022-05-02,20963,0
2022-05-06,21110,0
2022-05-09,21035,0
2022-05-10,20245,0
2022-05-11,20340,0
2022-05-12,19922,0
2022-05-13,19768,0
2022-05-16,20360,0
2022-05-17,20223,0
2022-05-18,20639,0
2022-05-19,19673,0
